SCENARIO,CATEGORY,PRODUCT,FLOW,UNIT,REGION,YEAR,VALUE
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Asia Pacific,2050,39.9
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Asia Pacific,2030,39.8
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Asia Pacific,2035,37.9
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Asia Pacific,2050,26.1
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Asia Pacific,2023,31
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Asia Pacific,2030,32
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Asia Pacific,2035,32
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Asia Pacific,2050,30.9
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Asia Pacific,2030,30.2
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Asia Pacific,2035,28.3
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Asia Pacific,2050,19
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Japan and Korea,2023,6.8
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Japan and Korea,2030,6.5
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Japan and Korea,2035,6.2
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Japan and Korea,2050,5.7
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Japan and Korea,2030,6.3
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Japan and Korea,2035,5.5
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Japan and Korea,2050,3.7
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Japan and Korea,2023,5.3
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Japan and Korea,2030,5
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Japan and Korea,2035,4.7
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Japan and Korea,2050,4.2
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Japan and Korea,2030,4.7
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Japan and Korea,2035,3.9
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Japan and Korea,2050,2.4
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,China,2023,18.3
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,China,2030,18.9
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,China,2035,18.9
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,China,2050,18.9
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,China,2030,18.9
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,China,2035,17.8
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,China,2050,10
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,China,2023,15
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,China,2030,15
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,China,2035,14.6
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,China,2050,13.5
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,China,2030,14.3
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,China,2035,12.9
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,China,2050,6.7
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,India,2023,5.8
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,India,2030,6.8
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,India,2035,7.1
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,India,2050,7.3
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,India,2030,6.8
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,India,2035,6.9
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,India,2050,5.4
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,India,2023,5.2
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,India,2030,6.1
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,India,2035,6.4
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,India,2050,6.6
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,India,2030,5.7
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,India,2035,5.7
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,India,2050,4.4
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Southeast Asia,2023,5.4
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Southeast Asia,2030,5.8
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Southeast Asia,2035,5.9
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Southeast Asia,2050,5.9
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Southeast Asia,2030,5.8
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Southeast Asia,2035,5.7
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Southeast Asia,2050,5.1
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Southeast Asia,2023,4.1
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Southeast Asia,2030,4.5
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Southeast Asia,2035,4.7
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Southeast Asia,2050,5
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Southeast Asia,2030,4.2
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Southeast Asia,2035,4.4
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Southeast Asia,2050,4.1
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Middle East,2023,11.2
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Middle East,2030,11.8
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Middle East,2035,12.6
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Middle East,2050,12.6
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Middle East,2030,11.3
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Middle East,2035,10.4
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Middle East,2050,8.4
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Middle East,2023,8.8
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Middle East,2030,10.2
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Middle East,2035,10.7
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Middle East,2050,10.5
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Middle East,2030,8.9
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Middle East,2035,8
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Middle East,2050,6.2
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Russia,2023,7
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Russia,2030,7
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Russia,2035,6.5
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Russia,2050,6.5
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Russia,2030,6.5
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Russia,2035,5.8
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Russia,2050,4
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Russia,2023,5.5
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Russia,2030,5.7
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Russia,2035,4.9
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Russia,2050,4.2
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Russia,2030,4.8
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Russia,2035,3.9
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Russia,2050,2.3
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Africa,2023,3
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Africa,2030,3.7
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Africa,2035,4
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Africa,2050,4
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Africa,2030,3.7
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Africa,2035,3.9
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Africa,2050,3.5
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Africa,2023,1.6
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Africa,2030,2.3
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Africa,2035,2.7
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Africa,2050,3
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Africa,2030,2.2
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Africa,2035,2.3
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Africa,2050,2.3
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Brazil,2023,2.2
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Brazil,2030,2.4
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Brazil,2035,2.4
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Brazil,2050,2.4
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Brazil,2030,2.2
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Brazil,2035,2.1
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Brazil,2050,1.5
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Brazil,2023,2
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Brazil,2030,2.2
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Brazil,2035,2.2
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Brazil,2050,2.2
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Brazil,2030,1.9
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Brazil,2035,1.8
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Brazil,2050,1.3
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,World,2023,104.2
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,World,2030,106.1
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,World,2035,105.1
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,World,2050,103.9
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,World,2030,102.9
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,World,2035,93.1
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,World,2050,62.9
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,World,2023,82.5
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,World,2030,84.1
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,World,2035,81.9
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,World,2050,78.1
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,World,2030,76.6
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,World,2035,67.3
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,World,2050,43.6
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Atlantic Basin,2023,54.6
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Atlantic Basin,2030,54.1
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Atlantic Basin,2035,52.1
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,Atlantic Basin,2050,51.2
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Atlantic Basin,2030,51.6
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Atlantic Basin,2035,44.5
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,Atlantic Basin,2050,28.2
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Atlantic Basin,2023,42.6
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Atlantic Basin,2030,41.8
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Atlantic Basin,2035,39.1
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,Atlantic Basin,2050,36.7
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Atlantic Basin,2030,37.4
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Atlantic Basin,2035,30.9
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,Atlantic Basin,2050,18.4
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,East of Suez,2023,49.6
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,East of Suez,2030,52
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,East of Suez,2035,53
Stated Policies Scenario,Energy,Total,Refining capacity,Million barrels per day,East of Suez,2050,52.7
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,East of Suez,2030,51.3
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,East of Suez,2035,48.6
Announced Pledges Scenario,Energy,Total,Refining capacity,Million barrels per day,East of Suez,2050,34.7
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,East of Suez,2023,39.9
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,East of Suez,2030,42.3
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,East of Suez,2035,42.8
Stated Policies Scenario,Energy,Total,Refinery runs,Million barrels per day,East of Suez,2050,41.5
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,East of Suez,2030,39.2
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,East of Suez,2035,36.4
Announced Pledges Scenario,Energy,Total,Refinery runs,Million barrels per day,East of Suez,2050,25.3
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,World,2010,3286
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,World,2022,4210
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,World,2023,4218
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,World,2030,4430
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,World,2035,4422
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,World,2050,4377
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,World,2030,4003
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,World,2035,3493
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,World,2050,2466
Stated Policies Scenario,Energy,Conventional gas,Production,Billion cubic metres,World,2010,2781
Stated Policies Scenario,Energy,Conventional gas,Production,Billion cubic metres,World,2022,2941
Stated Policies Scenario,Energy,Conventional gas,Production,Billion cubic metres,World,2023,2908
Stated Policies Scenario,Energy,Conventional gas,Production,Billion cubic metres,World,2030,2982
Stated Policies Scenario,Energy,Conventional gas,Production,Billion cubic metres,World,2035,2996
Stated Policies Scenario,Energy,Conventional gas,Production,Billion cubic metres,World,2050,3076
Announced Pledges Scenario,Energy,Conventional gas,Production,Billion cubic metres,World,2030,2818
Announced Pledges Scenario,Energy,Conventional gas,Production,Billion cubic metres,World,2035,2560
Announced Pledges Scenario,Energy,Conventional gas,Production,Billion cubic metres,World,2050,1969
Stated Policies Scenario,Energy,Tight gas,Production,Billion cubic metres,World,2010,274
Stated Policies Scenario,Energy,Tight gas,Production,Billion cubic metres,World,2022,312
Stated Policies Scenario,Energy,Tight gas,Production,Billion cubic metres,World,2023,314
Stated Policies Scenario,Energy,Tight gas,Production,Billion cubic metres,World,2030,242
Stated Policies Scenario,Energy,Tight gas,Production,Billion cubic metres,World,2035,195
Stated Policies Scenario,Energy,Tight gas,Production,Billion cubic metres,World,2050,120
Announced Pledges Scenario,Energy,Tight gas,Production,Billion cubic metres,World,2030,213
Announced Pledges Scenario,Energy,Tight gas,Production,Billion cubic metres,World,2035,138
Announced Pledges Scenario,Energy,Tight gas,Production,Billion cubic metres,World,2050,39
Stated Policies Scenario,Energy,Shale gas,Production,Billion cubic metres,World,2010,154
Stated Policies Scenario,Energy,Shale gas,Production,Billion cubic metres,World,2022,861
Stated Policies Scenario,Energy,Shale gas,Production,Billion cubic metres,World,2023,896
Stated Policies Scenario,Energy,Shale gas,Production,Billion cubic metres,World,2030,1106
Stated Policies Scenario,Energy,Shale gas,Production,Billion cubic metres,World,2035,1128
Stated Policies Scenario,Energy,Shale gas,Production,Billion cubic metres,World,2050,1082
Announced Pledges Scenario,Energy,Shale gas,Production,Billion cubic metres,World,2030,890
Announced Pledges Scenario,Energy,Shale gas,Production,Billion cubic metres,World,2035,728
Announced Pledges Scenario,Energy,Shale gas,Production,Billion cubic metres,World,2050,429
Stated Policies Scenario,Energy,Coalbed methane,Production,Billion cubic metres,World,2010,77
Stated Policies Scenario,Energy,Coalbed methane,Production,Billion cubic metres,World,2022,85
Stated Policies Scenario,Energy,Coalbed methane,Production,Billion cubic metres,World,2023,86
Stated Policies Scenario,Energy,Coalbed methane,Production,Billion cubic metres,World,2030,77
Stated Policies Scenario,Energy,Coalbed methane,Production,Billion cubic metres,World,2035,78
Stated Policies Scenario,Energy,Coalbed methane,Production,Billion cubic metres,World,2050,73
Announced Pledges Scenario,Energy,Coalbed methane,Production,Billion cubic metres,World,2030,58
Announced Pledges Scenario,Energy,Coalbed methane,Production,Billion cubic metres,World,2035,49
Announced Pledges Scenario,Energy,Coalbed methane,Production,Billion cubic metres,World,2050,29
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,North America,2010,815
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,North America,2022,1272
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,North America,2023,1323
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,North America,2030,1319
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,North America,2035,1241
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,North America,2050,1073
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,North America,2030,1153
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,North America,2035,863
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,North America,2050,409
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Central and South America,2010,163
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Central and South America,2022,161
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Central and South America,2023,160
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Central and South America,2030,164
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Central and South America,2035,170
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Central and South America,2050,176
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Central and South America,2030,150
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Central and South America,2035,139
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Central and South America,2050,102
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Europe,2010,341
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Europe,2022,253
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Europe,2023,236
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Europe,2030,198
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Europe,2035,181
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Europe,2050,133
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Europe,2030,172
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Europe,2035,127
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Europe,2050,57
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,European Union,2010,148
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,European Union,2022,47
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,European Union,2023,37
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,European Union,2030,31
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,European Union,2035,29
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,European Union,2050,23
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,European Union,2030,17
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,European Union,2035,9
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,European Union,2050,2
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Africa,2010,210
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Africa,2022,254
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Africa,2023,262
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Africa,2030,284
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Africa,2035,298
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Africa,2050,314
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Africa,2030,261
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Africa,2035,240
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Africa,2050,211
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Middle East,2010,464
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Middle East,2022,687
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Middle East,2023,698
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Middle East,2030,903
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Middle East,2035,962
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Middle East,2050,1152
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Middle East,2030,849
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Middle East,2035,860
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Middle East,2050,777
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Eurasia,2010,807
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Eurasia,2022,896
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Eurasia,2023,851
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Eurasia,2030,891
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Eurasia,2035,896
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Eurasia,2050,873
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Eurasia,2030,793
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Eurasia,2035,715
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Eurasia,2050,577
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Asia Pacific,2010,487
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Asia Pacific,2022,686
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Asia Pacific,2023,688
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Asia Pacific,2030,671
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Asia Pacific,2035,675
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Asia Pacific,2050,655
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Asia Pacific,2030,625
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Asia Pacific,2035,549
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Asia Pacific,2050,332
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Southeast Asia,2010,215
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Southeast Asia,2022,196
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Southeast Asia,2023,193
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Southeast Asia,2030,172
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Southeast Asia,2035,152
Stated Policies Scenario,Energy,Natural gas,Production,Billion cubic metres,Southeast Asia,2050,122
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Southeast Asia,2030,156
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Southeast Asia,2035,130
Announced Pledges Scenario,Energy,Natural gas,Production,Billion cubic metres,Southeast Asia,2050,81
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,World,2010,3312
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,World,2022,4166
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,World,2023,4186
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,World,2030,4430
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,World,2035,4422
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,World,2050,4377
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,World,2030,4003
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,World,2035,3493
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,World,2050,2466
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,North America,2010,838
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,North America,2022,1167
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,North America,2023,1175
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,North America,2030,1121
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,North America,2035,1028
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,North America,2050,811
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,North America,2030,957
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,North America,2035,674
Announced Pledges Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,North America,2050,367
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,United States,2010,678
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,United States,2022,939
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,United States,2023,940
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,United States,2030,883
Stated Policies Scenario,Energy,Natural gas,Total energy supply,Billion cubic metres,United States,2035,791
